,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,aprroved
65,GP,F,16,U,T,mother,3,2,0,no,yes,1,2,16,15,16,94.0,1
66,GP,M,15,U,A,mother,1,4,0,no,yes,3,0,11,12,12,100.0,1
67,GP,F,16,U,T,mother,1,4,0,no,yes,5,0,10,9,10,100.0,1
68,GP,F,15,R,T,mother,2,2,0,no,yes,4,0,11,10,11,100.0,1
69,GP,F,15,R,T,father,2,4,0,no,yes,3,6,15,15,15,81.0,1
70,GP,M,16,U,T,father,2,4,0,no,yes,5,2,13,11,11,94.0,1
71,GP,M,15,U,T,mother,1,4,0,no,yes,3,0,11,9,10,100.0,1
72,GP,F,15,R,T,mother,1,2,0,no,yes,5,2,13,11,11,94.0,1
73,GP,M,16,U,T,mother,1,1,0,no,no,5,0,13,13,14,100.0,1
74,GP,F,16,U,T,mother,1,2,0,no,yes,5,4,11,11,11,88.0,1
75,GP,M,15,U,T,mother,1,2,0,no,yes,5,0,11,11,11,100.0,1
76,GP,M,15,U,T,mother,2,4,0,no,yes,1,0,12,11,11,100.0,1
77,GP,F,16,U,T,mother,1,4,0,no,yes,3,1,13,13,13,97.0,1
78,GP,M,17,U,T,mother,2,1,3,no,yes,3,0,9,9,10,100.0,1
79,GP,F,16,U,T,mother,1,2,0,no,yes,3,14,12,11,11,56.0,0
80,GP,M,15,U,T,father,1,1,0,no,yes,3,0,11,11,12,100.0,1
81,GP,M,15,U,T,mother,1,3,0,no,yes,5,2,10,9,9,94.0,0
82,GP,F,15,U,T,mother,1,2,0,no,yes,5,4,12,11,11,88.0,1
83,GP,M,15,U,T,mother,2,2,0,yes,yes,4,2,13,12,13,94.0,1
84,GP,F,15,U,T,father,1,2,0,no,yes,4,2,13,12,12,94.0,1
85,GP,F,15,U,T,father,2,2,0,no,yes,5,4,12,11,12,88.0,1
86,GP,F,16,U,T,mother,1,2,0,no,no,2,6,13,11,11,81.0,1
87,GP,F,15,U,T,mother,1,3,0,no,yes,1,4,15,15,15,88.0,1
88,GP,M,16,U,T,father,2,2,0,no,yes,3,6,12,10,11,81.0,1
89,GP,M,16,U,A,mother,1,2,0,no,no,5,6,9,9,10,81.0,1
90,GP,F,16,U,T,mother,1,3,0,no,yes,4,2,9,11,11,94.0,1
91,GP,F,15,U,T,mother,1,1,0,no,yes,1,6,14,13,13,81.0,1
92,GP,F,16,U,T,father,1,2,0,no,no,2,0,12,13,12,100.0,1
93,GP,F,16,U,T,mother,2,2,0,no,yes,1,2,13,14,14,94.0,1
94,GP,M,15,U,T,mother,1,4,0,no,yes,4,2,11,12,12,94.0,1
95,GP,F,15,R,T,mother,2,4,0,yes,yes,1,4,13,13,13,88.0,1
96,GP,M,16,R,T,mother,2,1,0,yes,yes,4,6,9,11,11,81.0,1
97,GP,F,16,U,T,mother,1,2,0,no,no,5,0,13,12,12,100.0,1
98,GP,F,16,U,T,mother,1,1,0,no,yes,1,4,12,13,13,88.0,1
99,GP,F,16,U,T,mother,1,3,0,no,yes,3,2,12,13,13,94.0,1
100,GP,M,16,U,T,mother,1,1,0,no,yes,4,12,9,9,8,62.0,0
101,GP,M,16,U,T,father,1,3,0,no,yes,4,0,16,16,16,100.0,1
102,GP,M,15,U,T,mother,1,1,0,yes,yes,5,2,12,13,12,94.0,1
103,GP,F,15,U,T,mother,2,2,0,no,yes,2,16,11,10,10,50.0,0
104,GP,M,15,U,A,mother,1,2,0,no,yes,1,0,16,16,16,100.0,1
105,GP,F,15,U,A,father,1,4,0,no,no,4,10,10,10,10,69.0,0
106,GP,F,15,U,T,mother,1,4,0,no,yes,3,4,10,10,10,88.0,1
107,GP,M,16,U,T,father,1,3,0,no,yes,5,4,13,14,14,88.0,1
108,GP,M,15,R,T,father,4,4,0,no,yes,1,8,12,10,11,75.0,0
109,GP,F,16,U,T,mother,1,3,0,no,yes,4,2,15,15,14,94.0,1
110,GP,M,15,U,A,mother,1,1,0,no,yes,4,4,13,14,14,88.0,1
111,GP,F,16,R,T,father,1,3,0,no,yes,2,4,11,11,11,88.0,1
112,GP,F,16,U,T,mother,1,2,1,no,yes,5,12,8,10,10,62.0,0
113,GP,M,15,U,T,mother,1,1,0,no,yes,3,10,18,17,18,69.0,0
114,GP,M,15,R,T,mother,1,2,0,no,yes,5,4,10,9,10,88.0,1
115,GP,M,16,U,T,father,1,2,0,no,yes,5,6,16,14,14,81.0,1
116,GP,M,15,U,T,father,2,2,0,no,no,2,4,16,15,16,88.0,1
117,GP,M,16,U,T,father,2,1,0,no,yes,5,6,14,14,15,81.0,1
118,GP,M,17,R,T,father,3,2,1,no,yes,5,14,12,11,11,56.0,0
119,GP,M,15,U,T,father,1,1,0,no,yes,4,2,14,13,14,94.0,1
120,GP,F,15,U,T,mother,1,2,0,no,yes,1,0,14,14,14,100.0,1
121,GP,M,15,U,T,father,1,4,0,no,yes,5,6,14,13,13,81.0,1
122,GP,F,16,U,T,father,2,2,0,no,yes,5,2,14,12,13,94.0,1
123,GP,M,16,U,T,mother,1,1,0,no,yes,5,4,12,13,13,88.0,1
124,GP,F,16,U,T,mother,1,2,0,no,yes,5,0,12,11,11,100.0,1
125,GP,M,15,U,T,father,1,1,0,no,yes,5,2,9,9,9,94.0,0
126,GP,F,15,U,A,mother,1,2,0,no,yes,1,0,10,11,11,100.0,1
127,GP,F,19,U,T,other,1,2,2,no,no,5,0,9,10,11,100.0,1
128,GP,M,16,R,T,mother,1,1,0,no,yes,4,8,14,14,15,75.0,0
129,GP,M,16,U,T,mother,2,3,0,no,yes,1,4,13,12,13,88.0,1
130,GP,F,15,R,T,father,2,3,0,no,yes,5,0,10,11,12,100.0,1
131,GP,F,18,U,T,mother,1,2,3,no,yes,5,10,10,9,8,69.0,0
132,GP,F,17,U,A,mother,3,1,0,no,yes,5,8,11,10,11,75.0,0
133,GP,F,15,U,T,mother,3,1,0,no,yes,4,6,11,12,13,81.0,1
134,GP,F,17,U,T,father,1,1,0,no,yes,5,2,13,12,12,94.0,1
135,GP,F,16,U,A,father,1,1,0,no,yes,5,12,15,13,14,62.0,0
136,GP,M,16,U,T,mother,4,1,0,no,no,2,4,9,9,11,88.0,1
137,GP,F,16,U,A,mother,1,1,1,no,no,5,12,13,11,11,62.0,0
138,GP,M,15,R,T,mother,4,2,0,no,no,5,2,12,11,11,94.0,1
139,GP,F,15,U,T,mother,1,3,0,no,yes,5,4,13,14,15,88.0,1
140,GP,M,17,R,T,mother,3,2,0,no,no,5,2,10,9,10,94.0,1
141,GP,F,16,R,T,mother,4,2,0,no,no,3,0,14,13,13,100.0,1
142,GP,M,18,U,T,mother,2,1,0,no,yes,4,2,11,11,12,94.0,1
143,GP,F,18,U,A,other,1,3,0,no,yes,5,10,12,11,11,69.0,0
144,GP,F,16,R,T,mother,2,1,0,no,no,1,8,12,11,11,75.0,0
145,GP,F,16,U,A,other,2,1,0,no,yes,5,4,9,9,10,88.0,1
146,GP,M,16,U,T,mother,1,2,2,no,no,5,0,10,10,10,100.0,1
147,GP,F,15,U,T,mother,2,1,0,no,yes,5,6,13,14,14,81.0,1
148,GP,F,15,R,T,mother,3,1,1,no,yes,1,2,8,9,9,94.0,0
149,GP,M,15,U,T,father,2,4,0,no,yes,3,6,9,11,11,81.0,1
150,GP,F,15,U,A,mother,1,2,0,no,no,1,24,9,8,9,25.0,0
151,GP,M,16,U,T,mother,1,3,0,no,yes,5,0,15,13,13,100.0,1
152,GP,M,16,U,T,father,2,1,0,no,yes,2,4,12,11,11,88.0,1
153,GP,F,15,U,T,mother,1,3,0,no,yes,5,2,13,13,13,94.0,1
154,GP,F,16,U,T,mother,1,1,0,no,yes,1,4,10,11,11,88.0,1
155,GP,M,17,U,T,mother,1,1,0,no,yes,5,22,9,7,6,31.0,0
156,GP,F,15,U,T,father,1,2,0,no,yes,5,0,12,12,12,100.0,1
157,GP,F,15,U,A,mother,2,1,0,no,yes,5,0,11,10,10,100.0,1
158,GP,F,15,U,T,father,1,2,1,no,yes,3,2,11,11,11,94.0,1
159,GP,F,15,U,T,mother,1,2,0,no,yes,5,6,13,12,13,81.0,1
160,GP,F,15,U,T,father,1,2,0,no,no,1,6,11,11,11,81.0,1
161,GP,M,16,U,T,mother,1,1,0,no,yes,5,16,9,9,8,50.0,0
162,GP,M,15,U,A,mother,4,1,0,no,yes,5,0,12,11,11,100.0,1
163,GP,M,18,U,T,mother,1,1,2,no,yes,4,0,11,9,0,100.0,0
164,GP,M,16,U,T,mother,1,1,1,no,no,5,6,9,10,10,81.0,1
165,GP,F,15,R,T,other,2,3,0,yes,yes,3,2,13,13,13,94.0,1
166,GP,M,19,U,T,mother,1,1,0,no,yes,4,6,11,9,11,81.0,1
167,GP,F,17,U,T,mother,1,1,0,no,no,4,0,13,13,13,100.0,1
168,GP,M,15,R,T,mother,1,2,0,yes,no,1,0,7,8,8,100.0,0
169,GP,M,17,R,T,mother,1,1,3,no,no,5,14,9,8,10,56.0,0
170,GP,F,18,R,T,mother,3,1,3,no,no,4,6,11,10,11,81.0,1
171,GP,M,16,R,T,mother,3,1,0,no,no,3,4,12,10,11,88.0,1
172,GP,M,16,U,T,father,1,2,1,no,yes,5,0,10,10,1,100.0,0
173,GP,M,16,U,T,mother,2,1,2,no,yes,5,0,9,8,10,100.0,1
174,GP,M,17,R,T,mother,2,1,1,yes,yes,5,8,8,8,9,75.0,0
175,GP,M,17,R,T,mother,2,2,2,no,yes,3,4,7,6,8,88.0,0
176,GP,M,15,U,T,mother,2,1,0,no,no,5,2,8,9,10,94.0,1
177,GP,M,16,U,T,father,1,1,1,no,yes,2,2,9,8,8,94.0,0
178,GP,M,17,R,T,mother,4,2,0,no,no,5,0,8,8,8,100.0,0
179,GP,M,17,U,T,mother,2,1,3,no,no,2,10,8,7,8,69.0,0
180,GP,M,16,U,T,father,1,2,0,no,yes,4,0,9,10,11,100.0,1
181,GP,F,16,U,T,father,1,2,0,no,yes,3,0,17,17,18,100.0,1
182,GP,F,16,U,T,mother,1,2,0,no,yes,4,0,12,12,13,100.0,1
183,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,16,16,17,100.0,1
184,GP,M,16,U,T,father,3,1,1,no,yes,2,4,9,9,10,88.0,1
185,GP,M,16,U,T,mother,2,2,0,no,yes,3,0,16,17,18,100.0,1
186,GP,M,17,U,T,mother,1,2,0,no,yes,5,0,11,9,10,100.0,1
187,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,14,13,13,100.0,1
188,GP,F,16,U,T,mother,2,2,0,no,yes,4,0,14,14,15,100.0,1
189,GP,M,17,U,T,mother,2,2,0,no,yes,4,0,10,11,11,100.0,1
190,GP,F,16,U,T,mother,2,2,0,no,yes,5,0,13,12,14,100.0,1
191,GP,M,17,U,T,father,1,2,0,no,yes,4,4,11,9,10,88.0,1
192,GP,M,16,R,T,mother,1,1,0,no,yes,3,8,10,9,11,75.0,0
193,GP,M,17,U,T,mother,1,2,0,yes,yes,2,4,11,11,13,88.0,1
194,GP,M,16,U,T,mother,1,2,0,yes,yes,3,4,11,10,11,88.0,1
195,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,11,12,13,100.0,1
196,GP,F,17,U,T,father,1,2,0,no,no,5,0,17,18,17,100.0,1
197,GP,F,17,U,T,mother,1,2,0,no,yes,1,32,14,13,14,0.0,0
198,GP,F,16,U,T,mother,1,2,0,no,yes,1,8,14,15,16,75.0,0
199,GP,M,17,U,T,mother,1,2,0,no,yes,4,6,11,13,14,81.0,1
200,GP,M,16,U,T,mother,1,1,0,no,yes,3,0,10,9,11,100.0,1
201,GP,M,16,U,T,mother,1,2,0,no,yes,5,0,13,14,16,100.0,1
202,GP,F,17,U,A,mother,1,2,0,no,yes,3,10,12,13,14,69.0,0
203,GP,M,17,R,T,mother,1,2,0,no,no,3,6,9,9,10,81.0,1
204,GP,F,16,U,T,mother,1,2,0,no,yes,2,6,12,12,13,81.0,1
205,GP,F,17,U,T,mother,1,2,0,no,yes,3,0,12,11,12,100.0,1
206,GP,M,17,U,T,other,2,2,0,no,yes,5,16,10,11,12,50.0,0
207,GP,M,16,R,T,mother,1,1,0,no,yes,5,0,11,10,10,100.0,1
208,GP,M,16,U,T,father,2,1,0,no,yes,3,0,13,12,12,100.0,1
209,GP,F,17,U,T,father,1,2,0,no,yes,5,8,14,15,16,75.0,0
210,GP,M,17,U,T,mother,1,1,0,no,yes,5,4,13,13,14,88.0,1
211,GP,M,16,R,T,father,3,1,0,no,yes,3,16,10,11,12,50.0,0
212,GP,F,17,U,T,mother,2,1,1,no,yes,2,30,14,15,16,6.0,0
213,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,11,10,11,100.0,1
214,GP,F,16,U,T,mother,1,2,0,no,yes,2,2,14,14,15,94.0,1
215,GP,F,16,U,T,mother,1,2,0,no,no,4,4,11,12,12,88.0,1
216,GP,F,17,U,T,mother,1,2,0,no,no,1,0,14,15,15,100.0,1
217,GP,F,17,R,T,mother,1,1,0,no,yes,3,21,13,13,13,34.0,0
218,GP,F,16,R,T,mother,2,4,0,no,yes,5,6,13,13,13,81.0,1
219,GP,F,17,U,T,mother,1,3,1,yes,yes,5,14,8,9,8,56.0,0
220,GP,F,16,U,A,mother,1,2,0,no,yes,4,2,11,11,12,94.0,1
221,GP,F,16,U,T,mother,1,2,0,no,yes,1,4,14,15,15,88.0,1
222,GP,F,16,U,T,mother,2,1,0,no,no,5,2,12,13,13,94.0,1
223,GP,F,17,R,T,mother,2,3,0,no,yes,4,0,11,12,12,100.0,1
224,GP,F,19,U,T,other,1,4,0,no,yes,3,4,12,12,12,88.0,1
225,GP,M,17,U,T,mother,1,2,0,no,yes,3,15,13,12,12,53.0,0
226,GP,F,16,U,A,mother,1,2,0,no,yes,4,0,13,13,13,100.0,1
227,GP,M,18,U,T,mother,1,2,0,no,yes,5,10,12,11,11,69.0,0
228,GP,F,17,R,T,mother,1,1,0,no,no,3,6,12,11,11,81.0,1
229,GP,F,17,U,T,mother,2,2,0,no,yes,1,2,14,16,15,94.0,1
230,GP,F,17,U,T,mother,1,2,0,no,yes,1,16,11,9,10,50.0,0
231,GP,M,18,U,T,father,1,2,0,no,yes,4,10,10,10,10,69.0,0
232,GP,F,17,U,T,father,2,1,0,no,no,3,4,12,13,13,88.0,1
233,GP,F,17,U,T,mother,1,3,0,no,yes,4,0,12,12,13,100.0,1
234,GP,F,17,R,T,mother,2,2,0,no,yes,5,0,11,10,11,100.0,1
235,GP,F,17,U,T,mother,1,3,0,no,no,5,12,12,12,12,62.0,0
236,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,13,13,14,100.0,1
237,GP,M,18,U,T,mother,2,2,3,yes,yes,4,9,10,9,10,72.0,0
238,GP,F,16,U,T,mother,1,3,0,no,yes,5,4,15,16,16,88.0,1
239,GP,F,18,R,T,mother,1,2,0,no,yes,4,4,8,8,8,88.0,0
240,GP,F,17,U,T,mother,1,2,0,no,yes,3,2,17,18,17,94.0,1
241,GP,M,17,U,T,father,1,2,0,no,yes,3,0,10,11,11,100.0,1
242,GP,M,18,U,T,mother,4,2,0,no,yes,3,2,9,10,11,94.0,1
243,GP,F,17,U,A,mother,2,3,0,no,yes,3,0,15,15,16,100.0,1
244,GP,F,17,U,T,father,1,2,0,no,yes,3,0,14,12,12,100.0,1
245,GP,M,17,R,T,father,2,2,0,no,yes,1,0,12,13,13,100.0,1
246,GP,M,17,U,T,mother,1,2,0,no,yes,2,0,13,13,13,100.0,1
247,GP,M,16,U,T,father,1,2,0,no,yes,1,0,13,13,14,100.0,1
248,GP,M,16,U,T,mother,2,2,0,no,yes,5,2,9,9,9,94.0,0
249,GP,M,16,U,T,mother,2,3,0,no,yes,2,0,12,12,12,100.0,1
250,GP,M,17,U,T,father,1,2,0,no,yes,4,0,16,16,16,100.0,1
251,GP,F,16,U,T,mother,1,1,0,no,yes,5,4,9,10,10,88.0,1
252,GP,F,16,U,A,mother,1,2,0,no,yes,5,0,14,13,13,100.0,1
253,GP,F,18,U,A,mother,2,2,1,no,yes,3,18,10,10,10,44.0,0
254,GP,F,18,U,T,mother,1,2,1,no,yes,5,16,9,8,10,50.0,0
255,GP,F,18,U,T,mother,2,1,1,no,yes,3,14,8,7,7,56.0,0
256,GP,M,18,U,T,other,1,1,1,no,yes,1,26,7,8,8,19.0,0
257,GP,M,17,U,T,mother,1,1,0,no,yes,5,6,10,8,9,81.0,0
258,GP,F,17,U,T,father,1,2,0,no,no,3,4,14,14,15,88.0,1
259,GP,F,17,U,T,mother,1,3,0,no,yes,4,10,11,10,10,69.0,0
260,GP,F,16,U,T,mother,1,1,0,no,yes,5,4,12,11,11,88.0,1
261,GP,F,17,R,T,mother,3,2,0,no,no,3,2,13,13,13,94.0,1
262,GP,F,17,R,A,other,4,1,1,no,yes,5,14,9,9,8,56.0,0
263,GP,M,18,U,T,father,1,2,0,no,yes,2,16,8,7,8,50.0,0
264,GP,F,17,U,A,mother,1,1,1,no,yes,1,8,11,9,10,75.0,0
265,GP,F,17,R,T,mother,2,3,0,no,yes,5,4,15,14,15,88.0,1
266,GP,F,17,U,A,mother,1,2,0,no,no,4,4,15,14,14,88.0,1
267,GP,M,17,U,T,mother,2,2,0,no,yes,5,8,15,15,15,75.0,0
268,GP,M,17,R,A,mother,2,2,0,no,yes,4,0,12,12,12,100.0,1
269,GP,M,16,U,T,mother,1,1,0,no,yes,3,7,14,14,15,78.0,0
270,GP,M,16,U,T,mother,1,1,0,yes,yes,5,4,14,15,15,88.0,1
271,GP,F,17,U,T,mother,1,2,0,yes,yes,5,2,11,11,12,94.0,1
272,GP,M,17,R,T,father,2,3,0,no,yes,1,2,13,14,15,94.0,1
273,GP,F,17,U,T,mother,2,3,0,no,yes,5,10,11,11,11,69.0,0
274,GP,F,17,U,T,mother,1,2,0,no,no,4,10,10,9,10,69.0,0
275,GP,F,18,U,T,other,2,3,0,no,yes,3,10,12,10,11,69.0,0
276,GP,M,16,U,T,mother,3,1,0,no,yes,4,7,15,16,16,78.0,0
277,GP,F,17,U,T,father,1,2,0,no,no,5,4,11,10,11,88.0,1
278,GP,M,17,U,T,father,2,1,0,no,yes,2,2,9,12,13,94.0,1
279,GP,M,22,U,T,mother,1,1,3,no,yes,1,12,7,8,5,62.0,0
280,GP,M,18,R,T,mother,1,2,0,no,yes,5,8,10,9,10,75.0,0
281,GP,M,16,U,T,mother,1,1,0,no,yes,5,0,11,12,11,100.0,1
282,GP,M,18,U,T,mother,2,1,0,no,yes,5,8,7,8,7,75.0,0
283,GP,M,16,U,T,other,3,2,1,no,yes,2,4,9,11,10,88.0,1
284,GP,M,18,U,T,mother,1,1,2,no,yes,5,4,7,8,6,88.0,0
285,GP,M,16,R,T,mother,2,1,0,no,no,3,2,14,13,12,94.0,1
286,GP,M,17,R,T,mother,1,1,0,no,yes,5,0,12,12,13,100.0,1
287,GP,M,17,U,T,mother,2,1,1,no,yes,5,0,9,10,10,100.0,1
288,GP,F,18,U,A,mother,1,2,0,no,yes,5,2,12,12,13,94.0,1
289,GP,F,17,U,T,mother,1,4,0,no,yes,4,2,14,15,17,94.0,1
290,GP,F,19,U,T,mother,1,2,0,no,yes,5,0,10,10,11,100.0,1
291,GP,M,18,U,T,mother,3,2,1,no,yes,5,4,11,10,11,88.0,1
292,GP,F,17,R,T,mother,1,3,0,no,yes,5,2,11,12,14,94.0,1
293,GP,F,18,U,T,mother,1,3,0,no,no,3,4,11,12,14,88.0,1
294,GP,F,18,R,T,mother,1,2,0,no,no,5,4,11,11,13,88.0,1
295,GP,M,19,U,A,mother,1,2,0,no,yes,1,4,11,13,14,88.0,1
296,GP,M,18,U,T,mother,1,2,0,no,yes,4,2,16,16,16,94.0,1
297,GP,M,17,R,T,mother,2,1,0,no,no,4,0,9,10,10,100.0,1
298,GP,F,17,U,T,father,1,4,0,no,yes,2,2,10,11,12,94.0,1
299,GP,F,20,R,T,other,2,2,0,yes,yes,2,8,10,12,12,75.0,0
300,GP,F,18,U,T,father,1,2,0,no,yes,2,2,15,15,15,94.0,1
301,GP,M,18,U,T,mother,1,2,0,no,yes,3,2,10,10,11,94.0,1
302,GP,M,18,R,T,mother,1,3,0,no,no,3,2,10,11,12,94.0,1
303,GP,F,17,U,T,mother,1,3,0,no,no,4,2,15,12,13,94.0,1
304,GP,F,18,U,T,mother,1,3,0,no,yes,3,0,11,12,13,100.0,1
305,GP,M,17,U,T,father,2,1,0,no,yes,4,8,8,8,9,75.0,0
306,GP,M,18,R,A,mother,2,2,0,no,yes,1,6,15,16,16,81.0,1
307,GP,M,17,U,T,mother,1,2,0,no,yes,5,0,11,11,14,100.0,1
308,GP,F,18,R,T,mother,2,2,0,no,yes,4,8,10,11,12,75.0,0
309,GP,M,18,U,T,father,1,2,0,no,yes,5,4,10,12,14,88.0,1
310,GP,F,18,R,T,mother,2,2,0,no,yes,3,12,8,9,10,62.0,0
311,GP,F,19,U,T,other,1,2,0,no,yes,5,16,11,12,12,50.0,0
312,GP,F,18,U,T,father,1,4,0,no,yes,2,10,16,16,16,69.0,0
313,GP,F,18,U,T,mother,2,2,0,no,no,3,2,13,13,13,94.0,1
314,GP,M,17,R,T,mother,1,2,0,no,no,1,2,16,17,18,94.0,1
315,GP,F,18,U,T,mother,1,2,0,no,yes,1,8,14,14,15,75.0,0
316,GP,F,17,U,T,mother,2,2,0,no,yes,1,6,15,16,16,81.0,1
317,GP,F,17,U,T,mother,2,2,0,no,yes,5,6,12,12,12,81.0,1
318,GP,F,18,R,A,mother,2,2,0,no,yes,5,15,12,9,10,53.0,0
319,GP,M,18,U,T,mother,2,1,0,no,yes,3,6,11,12,12,81.0,1
320,GP,F,18,U,T,father,1,2,1,no,yes,4,2,14,12,13,94.0,1
321,GP,F,17,U,T,father,3,3,0,no,yes,1,8,13,15,15,75.0,0
322,GP,F,19,R,T,father,1,2,1,no,yes,3,0,9,8,10,100.0,1
323,GP,M,18,U,T,mother,2,1,0,no,yes,1,0,10,10,10,100.0,1
324,GP,M,18,U,T,other,2,1,0,no,yes,4,10,10,10,11,69.0,0
